x,y
3380.452852826691,2168.087391960705
3380.452852826691,2156.256910676193
3380.452852826691,2144.42642939168
3380.452852826691,2132.595948107171
3380.452852826691,2120.765466822659
3380.452852826691,2108.934985538146
3380.452852826691,2097.104504253633
3380.452852826691,2085.274022969125
3380.452852826691,2073.443541684612
3380.452852826691,2061.613060400099
3380.452852826691,2049.782579115586
3380.452852826691,2037.952097831078
3380.452852826691,2026.121616546565
3380.452852826691,2014.291135262052
3380.452852826691,2002.460653977543
3380.452852826691,1990.63017269303
3380.452852826691,1978.799691408517
3380.452852826691,1966.969210124005
3380.452852826691,1955.138728839496
3380.452852826691,1943.308247554983
3380.452852826691,1931.477766270471
3380.452852826691,1919.647284985958
3380.452852826691,1907.816803701449
3380.452852826691,1895.986322416936
3380.452852826691,1884.155841132423
3380.452852826691,1872.325359847915
3380.452852826691,1860.494878563402
3380.452852826691,1848.664397278889
3380.452852826691,1836.833915994376
3380.452852826691,1825.003434709868
3380.452852826691,1813.172953425355
3380.452852826691,1801.342472140842
3380.452852826691,1789.511990856329
3380.452852826691,1777.681509571821
3380.452852826691,1765.851028287308
3380.452852826691,1754.020547002795
